epoch,learning_rate,loss,mae,mape,val_loss,val_mae,val_mape
0,9.999999747378752e-05,196.008056640625,9.517244338989258,31.281042098999023,164436192.0,7323.4560546875,25292.6484375
1,9.999999747378752e-05,25.487239837646484,3.832505702972412,12.696916580200195,13908755456.0,68194.1640625,239238.125
2,9.999999747378752e-05,19.770021438598633,3.4350814819335938,11.423951148986816,4147882752.0,38053.02734375,134089.453125
3,9.999999747378752e-05,17.842348098754883,3.2604479789733887,10.846415519714355,2875619072.0,36132.87109375,125048.1953125
4,9.999999747378752e-05,14.51321792602539,2.935812473297119,9.766517639160156,3641412352.0,40755.0390625,140150.125
5,2.9999999242136255e-05,12.374932289123535,2.70292067527771,9.038435935974121,2971821568.0,40923.40234375,143079.734375
6,2.9999999242136255e-05,10.687886238098145,2.5288190841674805,8.491828918457031,2711707136.0,40357.73046875,138836.0625
7,2.9999999242136255e-05,10.688203811645508,2.53265380859375,8.527203559875488,2384865536.0,36467.6640625,126846.203125
